second,raw_bytes,nes_results_bytes,nes_alerts_bytes
0,0,0,0
1,3373,654,0
2,0,2289,0
3,0,0,0
4,0,0,0
5,0,0,0
6,3360,2296,0
7,0,656,0
8,0,0,0
9,0,0,0
10,0,0,0
11,3358,2303,0
12,0,0,0
13,0,658,0
14,0,0,0
15,0,0,0
16,3346,2943,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,3361,656,0
22,0,1968,328
23,0,328,0
24,0,0,0
25,0,0,0
26,3365,2303,0
27,0,658,0
28,0,0,0
29,0,0,0
30,0,0,0
31,3358,2961,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,3367,2943,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,3354,2952,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,3358,2943,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,3364,2961,329
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,3363,658,0
57,0,1316,0
58,0,987,0
59,0,0,0
60,0,0,0
61,3365,2961,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,3367,1316,0
67,0,987,329
68,0,658,0
69,0,0,0
70,0,0,0
71,3357,2296,0
72,0,656,0
73,0,0,0
74,0,0,0
75,0,0,0
76,3359,2296,0
77,0,0,0
78,0,656,0
79,0,0,0
80,0,0,0
81,3361,2961,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,3349,2303,0
87,0,658,0
88,0,0,0
89,0,0,0
90,0,0,0
91,3363,2296,0
92,0,656,0
93,0,0,0
94,0,0,0
95,0,0,0
96,3360,2961,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,3366,1312,0
102,0,1640,0
103,0,0,0
104,0,0,0
105,0,0,0
106,3366,2296,0
107,0,656,0
108,0,0,0
109,0,0,0
110,0,0,0
111,3357,2289,0
112,0,654,0
113,0,0,0
114,0,0,0
115,0,0,0
116,3367,658,0
117,0,2303,329
