telemetry_ts,alert_received,latency_ms,field,value
1773068047384,1773068047563.8918,179.89,STATUS_ID_TEMP_AMB,0.02
1773068047384,1773068047653.075,269.07,STATUS_ID_TEMP_AMB,0.02
1773068052386,1773068052579.754,193.75,STATUS_ID_TEMP_AMB,0.01
1773068057393,1773068057616.918,223.92,STATUS_ID_TEMP_AMB,0.01
1773068062395,1773068062573.556,178.56,STATUS_ID_TEMP_AMB,0.02
1773068072406,1773068072627.583,221.58,STATUS_ID_TEMP_AMB,0.03
1773068077412,1773068077645.205,233.21,STATUS_ID_TEMP_AMB,0.01
1773068082419,1773068082680.448,261.45,STATUS_ID_TEMP_AMB,0.02
1773068087421,1773068087599.5332,178.53,STATUS_ID_TEMP_AMB,0.01
1773068092429,1773068092650.6682,221.67,STATUS_ID_TEMP_AMB,0.02
1773068097434,1773068097654.326,220.33,STATUS_ID_TEMP_AMB,0.02
1773068102439,1773068102878.1597,439.16,STATUS_ID_TEMP_AMB,0.0
1773068107446,1773068107635.457,189.46,STATUS_ID_TEMP_AMB,0.0
1773068107446,1773068107752.552,306.55,STATUS_ID_TEMP_AMB,0.0
1773068112449,1773068112663.746,214.75,STATUS_ID_TEMP_AMB,0.03
1773068122455,1773068122718.959,263.96,STATUS_ID_TEMP_AMB,0.01
1773068127464,1773068130081.146,2617.15,STATUS_ID_TEMP_AMB,0.01
1773068132470,1773068132685.183,215.18,STATUS_ID_TEMP_AMB,0.0
1773068137473,1773068137740.167,267.17,STATUS_ID_TEMP_AMB,0.0
1773068142486,1773068142735.975,249.98,STATUS_ID_TEMP_AMB,0.0
1773068147494,1773068147801.5571,307.56,STATUS_ID_TEMP_AMB,0.02
1773068152496,1773068152696.405,200.41,STATUS_ID_TEMP_AMB,0.01
1773068157497,1773068157749.8591,252.86,STATUS_ID_TEMP_AMB,0.01
1773068157497,1773068157842.087,345.09,STATUS_ID_TEMP_AMB,0.01
1773068162504,1773068162801.6309,297.63,STATUS_ID_TEMP_AMB,0.02
